Id;f8;f8ket;f504;f504ket;f502;f505;f5a1;f5a1ket;f1101;f1101ket;f5b;f5c;f5cket;f5d;f5dket;f18a;f18aket;f18b;f18bket;f18d;f1201;f1201ket;f14;f14ket;f15;f15ket;f1761;f1762;f1762ket;f1761ket;f1763;f1763ket;f1764;f1764ket;f1765;f1765ket;f1766;f1766ket;f1767;f1767ket;f1768;f1768ket;f1769;f1769ket;f1770;f1770ket;f1773;f1773ket;f1774;f1774ket;f1771;f1771ket;f1772;f1772ket;f21;f22;f23;f24;f25;f26;f27;f21ket;f22ket;f23ket;f24ket;f25ket;f26ket;f27ket;f301;f302;f303;f401;f401ket;f402;f402ket;f403;f403ket;f404;f404ket;f405;f405ket;f406;f406ket;f407;f407ket;f408;f408ket;f409;f409ket;f410;f410ket;f411;f411ket;f412;f412ket;f413;f413ket;f414;f414ket
ID-001;3.0;Wiraswasta;;;;5000000.0;280000.0;280000.0;3.0;Institusi/Organisasi Multilateral;Bank Dunia (World Bank);4.0;Freelance/Kerja Lepas;;;;;;;;1.0;Biaya Sendiri/Keluarga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;4;4;4;2;2;Cukup Besar;Besar;Kurang Besar;Kurang Besar;Kurang Besar;Besar;Besar;0.0;0.0;0.0;0;Tidak;0;Tidak;1;Ya;1;Ya;1;Ya;0;Tidak;0;Tidak;0;Tidak;1;Ya;0;Tidak;1;Ya;0;Tidak;1;Ya;1;Ya
ID-002;2.0;Belum memungkinkan bekerja;;;;5000000.0;280000.0;280000.0;3.0;Institusi/Organisasi Multilateral;Perserikatan Bangsa-Bangsa (PBB);;;;;;;0.0;;1970-01-01;6.0;Beasiswa Perusahaan/Swasta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;4;3;3;4;4;2;Cukup Besar;Kurang Besar;Cukup Besar;Cukup Besar;Kurang Besar;Kurang Besar;Besar;4.0;0.0;0.0;0;Tidak;0;Tidak;0;Tidak;1;Ya;0;Tidak;0;Tidak;0;Tidak;1;Ya;1;Ya;1;Ya;1;Ya;1;Ya;0;Tidak;0;Tidak
ID-003;4.0;Melanjutkan Pendidikan;;;;;;;;;;;;;;2.0;Beasiswa;4.0;Institut Pertanian Bogor (IPB);2023-08-08 00:00:00;3.0;Beasiswa BIDIKMISI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;2;4;3;1;4;2;Tidak Sama Sekali;Besar;Kurang Besar;Cukup Besar;Sangat Besar;Kurang Besar;Besar;0.0;0.0;;0;Tidak;0;Tidak;1;Ya;1;Ya;0;Tidak;1;Ya;0;Tidak;1;Ya;0;Tidak;0;Tidak;1;Ya;0;Tidak;1;Ya;1;Ya
ID-004;5.0;Tidak kerja tetapi sedang mencari kerja;2.0;Tidak;;6000000.0;280000.0;280000.0;3.0;Institusi/Organisasi Multilateral;Organisasi Kesehatan Dunia (WHO);;;;;;;;;;3.0;Beasiswa BIDIKMISI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;4;4;2;3;3;Sangat Besar;Cukup Besar;Kurang Besar;Kurang Besar;Besar;Cukup Besar;Cukup Besar;4.0;5.0;5.0;0;Tidak;0;Tidak;1;Ya;1;Ya;0;Tidak;0;Tidak;0;Tidak;1;Ya;1;Ya;1;Ya;0;Tidak;0;Tidak;1;Ya;1;Ya
ID-005;1.0;Bekerja (full time / part time);2.0;Tidak;14.0;5500000.0;;;3.0;Institusi/Organisasi Multilateral;Uni Eropa (European Union);1.0;Founder (Pendiri);3.0;Multinasional/Internasional;;;;;;1.0;Biaya Sendiri/Keluarga;2.0;Erat;2.0;Tingkat yang Sama;3.0;3.0;Cukup Tinggi;Cukup Tinggi;4.0;Tinggi;5.0;Sangat Tinggi;1.0;Sangat Rendah;2.0;Rendah;2.0;Rendah;5.0;Sangat Tinggi;3.0;Cukup Tinggi;3.0;Cukup Tinggi;5.0;Sangat Tinggi;5.0;Tinggi;2.0;Rendah;4.0;Tinggi;4;3;4;2;2;4;3;Kurang Besar;Cukup Besar;Kurang Besar;Besar;Besar;Kurang Besar;Cukup Besar;3.0;1.0;1.0;0;Tidak;0;Tidak;1;Ya;1;Ya;0;Tidak;0;Tidak;0;Tidak;0;Tidak;0;Tidak;0;Tidak;1;Ya;0;Tidak;1;Ya;0;Tidak
ID-006;1.0;Bekerja (full time / part time);1.0;Ya;5.0;5000000.0;;;2.0;BUMN/BUMD;PT. Bank Mandiri (Persero) Tbk;0.0;;2.0;Nasional/Wiraswasta Berbadan Hukum;;;;;;1.0;Biaya Sendiri/Keluarga;2.0;Erat;4.0;Tidak Perlu Pendidikan Tinggi;5.0;5.0;Sangat Tinggi;Sangat Tinggi;1.0;Sangat Rendah;1.0;Sangat Rendah;3.0;Cukup Tinggi;4.0;Tinggi;4.0;Tinggi;4.0;Tinggi;4.0;Tinggi;4.0;Tinggi;3.0;Cukup Tinggi;4.0;Cukup Tinggi;4.0;Tinggi;3.0;Cukup Tinggi;4;3;3;2;3;4;4;Kurang Besar;Cukup Besar;Cukup Besar;Besar;Cukup Besar;Kurang Besar;Kurang Besar;4.0;6.0;6.0;1;Ya;0;Tidak;1;Ya;1;Ya;0;Tidak;0;Tidak;0;Tidak;1;Ya;1;Ya;1;Ya;1;Ya;0;Tidak;0;Tidak;0;Tidak
ID-007;5.0;Tidak kerja tetapi sedang mencari kerja;1.0;Ya;;;;;5.0;Perusahaan swasta;PT. Mega Corporation;0.0;;;;;;;;;1.0;Biaya Sendiri/Keluarga;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;5;4;1;4;2;Sangat Besar;Cukup Besar;Tidak Sama Sekali;Kurang Besar;Sangat Besar;Kurang Besar;Besar;6.0;4.0;4.0;1;Ya;0;Tidak;0;Tidak;0;Tidak;0;Tidak;0;Tidak;0;Tidak;1;Ya;0;Tidak;0;Tidak;0;Tidak;0;Tidak;1;Ya;1;Ya
ID-008;4.0;Melanjutkan Pendidikan;;;;;;;5.0;Perusahaan swasta;PT. XYZ Global;0.0;;;;2.0;Beasiswa;3.0;Universitas Gadjah Mada (UGM);2023-08-21 00:00:00;4.0;Beasiswa PPA;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;3;3;2;2;2;Kurang Besar;Besar;Cukup Besar;Cukup Besar;Besar;Besar;Besar;0.0;0.0;0.0;0;Tidak;0;Tidak;1;Ya;1;Ya;1;Ya;0;Tidak;0;Tidak;1;Ya;1;Ya;0;Tidak;1;Ya;0;Tidak;0;Tidak;0;Tidak
ID-009;1.0;Bekerja (full time / part time);1.0;Ya;13.0;6000000.0;;;4.0;Organisasi non-profit/Lembaga Swadaya Masyarakat;Care International;;;3.0;Multinasional/Internasional;;;;;;3.0;Beasiswa BIDIKMISI;3.0;Cukup Erat;2.0;Tingkat yang Sama;4.0;4.0;Tinggi;Tinggi;2.0;Rendah;3.0;Cukup Tinggi;4.0;Tinggi;4.0;Tinggi;4.0;Tinggi;3.0;Cukup Tinggi;2.0;Rendah;5.0;Sangat Tinggi;4.0;Tinggi;1.0;Sangat Tinggi;2.0;Rendah;5.0;Sangat Tinggi;4;2;4;3;4;2;2;Kurang Besar;Besar;Kurang Besar;Cukup Besar;Kurang Besar;Besar;Besar;3.0;4.0;4.0;1;Ya;0;Tidak;1;Ya;1;Ya;1;Ya;0;Tidak;0;Tidak;0;Tidak;0;Tidak;0;Tidak;1;Ya;0;Tidak;1;Ya;0;Tidak
ID-010;3.0;Wiraswasta;;;;3500000.0;280000.0;280000.0;1.0;Instansi pemerintah;Kementerian Pertahanan;3.0;Staff (Karyawan);;;;;;;;3.0;Beasiswa BIDIKMISI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;4;4;2;4;3;Kurang Besar;Kurang Besar;Kurang Besar;Kurang Besar;Besar;Kurang Besar;Cukup Besar;0.0;0.0;0.0;0;Tidak;0;Tidak;1;Ya;1;Ya;0;Tidak;1;Ya;0;Tidak;0;Tidak;1;Ya;0;Tidak;1;Ya;1;Ya;1;Ya;1;Ya
